# NEFT 仿真实验日志
实验名 (experiment.name): medium-scale-relay_handoff
启动时间:                 2026-05-27 13:28:03
日志目录:                 F:\Data Structure\NEFT-System-main\NEFT-System\log\medium-scale-relay_handoff
配置文件:                 F:\Data Structure\NEFT-System-main\NEFT-System\configs\dynamic\medium.yaml

---- 事件日志 ----
[2026-05-27 13:28:03] [START] Experiment 'medium-scale-relay_handoff' started.
[2026-05-27 13:28:03] [INFO] [HEADLESS] mode=dynamic, strategy=relay_handoff, fleet_size=6, stations=2, initial_tasks=5, task_budget=80, max_sim_seconds=7200, task_seed=replay=F:/Data Structure/NEFT-System-main/NEFT-System/log/benchmarks/dynamic/medium/seed_1/composite_score/task_generation_seed.yaml, seed_file=F:\Data Structure\NEFT-System-main\NEFT-System\log\medium-scale-relay_handoff\task_generation_seed.yaml
[2026-05-27 13:28:12] [PROGRESS] sim_elapsed=37440s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=2 charging=2
[2026-05-27 13:28:12] [PROGRESS] sim_elapsed=37800s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=2 charging=2
[2026-05-27 13:28:12] [PROGRESS] sim_elapsed=38160s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=1 charging=2
[2026-05-27 13:28:12] [PROGRESS] sim_elapsed=38520s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=2 charging=2
[2026-05-27 13:28:12] [PROGRESS] sim_elapsed=38880s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=2 charging=2
[2026-05-27 13:28:12] [PROGRESS] sim_elapsed=39240s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=2 charging=2
[2026-05-27 13:28:12] [PROGRESS] sim_elapsed=39600s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=0 charging=2
[2026-05-27 13:28:13] [PROGRESS] sim_elapsed=39960s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=2 charging=2
[2026-05-27 13:28:13] [PROGRESS] sim_elapsed=40320s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=2 charging=2
[2026-05-27 13:28:13] [PROGRESS] sim_elapsed=40680s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=2 charging=2
[2026-05-27 13:28:13] [PROGRESS] sim_elapsed=41040s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=2 charging=2
[2026-05-27 13:28:13] [PROGRESS] sim_elapsed=41400s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=2 charging=1
[2026-05-27 13:28:13] [PROGRESS] sim_elapsed=41760s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=3 charging=1
[2026-05-27 13:28:13] [PROGRESS] sim_elapsed=42120s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=1 charging=1
[2026-05-27 13:28:13] [PROGRESS] sim_elapsed=42480s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=3 charging=1
[2026-05-27 13:28:13] [PROGRESS] sim_elapsed=42840s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-27 13:28:13] [PROGRESS] sim_elapsed=43200s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-27 13:28:13] [PROGRESS] sim_elapsed=43560s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=5 moving=1 charging=0
[2026-05-27 13:28:14] [PROGRESS] sim_elapsed=43920s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-27 13:28:14] [PROGRESS] sim_elapsed=44280s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-27 13:28:14] [PROGRESS] sim_elapsed=44640s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-27 13:28:14] [PROGRESS] sim_elapsed=45000s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=1 charging=1
[2026-05-27 13:28:14] [PROGRESS] sim_elapsed=45360s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=1 charging=1
[2026-05-27 13:28:14] [PROGRESS] sim_elapsed=45720s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=1 charging=1
